ITEM,ITEM_NM,WEEK_NUM,FW_ORDER,PLC_RATIO,FORECAST_INDEX,N_USED,MONTH
DP,진바지,2,32,0.27828444316957873,0.8406945054760562,3,1
DP,진바지,3,33,0.2351607033884244,1.0112719003356545,3,1
DP,진바지,4,34,0.3311483915600138,0.9766949145933207,2,1
DP,진바지,5,35,0.224143894846074,0.9776804608983918,2,2
DP,진바지,6,36,0.19007263922518158,1.1155061056786142,2,2
DP,진바지,7,37,0.3462469733656174,1.153140868462878,2,2
DP,진바지,8,38,0.273456416464891,1.2239165840727264,2,2
DP,진바지,9,39,0.2899515738498789,0.9250468506313827,2,3
DR,데님셔츠,32,10,0.3273784794349813,1.947335025380711,2,8
DR,데님셔츠,33,11,0.6375155795596178,1.393470380073868,2,8
DR,데님셔츠,34,12,0.5352617366015787,1.3438698106413998,2,8
DR,데님셔츠,35,13,0.6662235147486498,1.1416415367506036,3,9
DR,데님셔츠,36,14,0.8931726907630523,1.1026623159744622,3,9
DR,데님셔츠,37,15,0.6454673867885335,1.0416699864446446,3,9
DR,데님셔츠,38,16,0.685287356321839,1.0040789037615145,3,9
DR,데님셔츠,39,17,0.8414485528320178,1.143175611905215,3,10
DR,데님셔츠,40,18,0.9592161750450076,0.9781039093332174,3,10
DR,데님셔츠,41,19,0.5433734939759036,0.8168597765912516,3,10
DR,데님셔츠,42,20,0.4043484281955408,0.7910874699012777,3,10
DR,데님셔츠,43,21,0.42967733000969394,0.8378352626072086,3,10
DR,데님셔츠,44,22,0.3036615427226146,0.9105638218731326,3,11
DR,데님셔츠,45,23,0.2922226838388035,0.8533414158042952,3,11
DR,데님셔츠,46,24,0.2603628306328763,0.9363857454173526,3,11
DR,데님셔츠,47,25,0.24886857775931312,0.8552496025024428,3,11
DR,데님셔츠,48,26,0.17891704750034623,0.9119293299260233,3,12
DR,데님셔츠,49,27,0.1898333564141624,0.9523690931177075,3,12
DR,데님셔츠,50,28,0.20448322023727092,1.0645490725424789,3,12
DR,데님셔츠,51,29,0.21582421640585334,1.0760203686643368,3,12
DR,데님셔츠,52,30,0.23641970179568847,0.9392585085710929,3,1
DR,데님셔츠,1,31,0.15766514333194848,0.9371222094222014,2,1
DR,데님셔츠,2,32,0.16539906753450584,0.7912870879318125,3,1
DR,데님셔츠,3,33,0.10881964640169876,0.856601406024022,3,1
DR,데님셔츠,4,34,0.09389281262982965,0.7207814303707772,2,1
DR,데님셔츠,5,35,0.06024096385542168,0.9014741754513048,2,2
DR,데님셔츠,6,36,0.07228915662650602,1.1548125826467297,2,2
DR,데님셔츠,7,37,0.11731408392189446,1.4114224137931035,2,2
DR,데님셔츠,8,38,0.2108433734939759,1.6228448275862069,1,2
DS,진스커트,31,9,0.3142857142857143,2.9545454545454546,2,8
DS,진스커트,32,10,0.9285714285714286,1.7875291375291376,2,8
DS,진스커트,33,11,0.5761904761904763,1.6338348520166701,3,8
DS,진스커트,34,12,0.7642857142857142,0.8590936707334328,3,8
DS,진스커트,35,13,0.48174603174603176,1.0844361847085662,3,9
DS,진스커트,36,14,0.6246031746031746,0.9688439682153448,3,9
DS,진스커트,37,15,0.6119047619047618,1.0408378319652722,3,9
DS,진스커트,38,16,0.5178571428571428,1.0253882347796075,3,9
DS,진스커트,39,17,0.647420634920635,0.9698501810842467,3,10
DS,진스커트,40,18,0.5263888888888889,0.9728350798577762,3,10
DS,진스커트,41,19,0.4501984126984127,0.8519764528077537,3,10
DS,진스커트,42,20,0.39960317460317457,0.9305110907690347,3,10
DS,진스커트,43,21,0.41904761904761906,1.0893170701348753,3,10
DS,진스커트,44,22,0.5580357142857142,0.9401118402244891,2,11
DS,진스커트,45,23,0.24553571428571427,1.1093465909090907,2,11
DS,진스커트,46,24,0.3821428571428571,0.7381440573963939,2,11
DS,진스커트,47,25,0.08333333333333333,1.3629059621582986,3,11
